text,Number of Hashtags,Hashtags,Length of tweet,isRetweet
"In the run up to Holi: Huge haul of illicit liquor seized, 3 arrested in 3 different cases with total 140 cartons (6972 quarters) and one TSR and one tempo by three PS Govindpuri, PS Okhla and PS Badarpur of SE Dist.@DelhiPolice https://t.co/a2ZhXjyFdm",0,[],252,True
"Conspiracy, Robbery and Murder:  Case solved by the Team of PS Amar Colony with the arrest of three accused persons. @DelhiPolice https://t.co/MpVuTxae3p",0,[],153,True
Public Meeting: with Maulanas and respectables of Shaheen bagh to have their cooperation in maintaining peace in the area. @DelhiPolice https://t.co/Md0Jpajy5d,0,[],159,True
https://t.co/6drSLFMFLP,0,[],23,False
https://t.co/ND8VAFUVj0,0,[],23,False
"Notorious Thak Thak Gang members arrested within hours of committing an incident with the recovery of 11 pairs of earrings,necklace,foreign currency,laptop,8 mobile phones and motorcycle
@CPDelhi @LtGovDelhi @DelhiPolice 
#KeepingDelhiSafe https://t.co/zyS6omNLRz",0,[],263,True
"@CPDelhi visited residence of Sh. Anuj Sharma, ACP Gokul Puri, the officer who was injured facing rioters &amp; yet,heroically rescued his senior, Sh. Amit Sharma, DCP Shahdara,who was grievously injured trying to control the senseless violence. Delhi Police is proud of such officers https://t.co/r4wrdWOUD3",0,[],308,False
Public meeting was held at Jaitpur to get their cooperation and confidence in maintaining law and order and to improve crime situation in the area. @DelhiPolice https://t.co/KqjRBqgpYg,0,[],184,True
@SubtleTraveller @AtishiAAP @DelhiPolice Some unsubstantiated reports of tense situation in SouthEast &amp; West District are being circulated on social media. It is to reiterate that these are all rumours. Don't pay attention to such rumours. Delhi Police is closely monitoring accounts spreading rumours and taking action.,0,[],324,True
"Hey guys!

Not done. You have taken the job of spreading नफ़रत so brazenly.

Rest assured, we are watching you all, and mighty well. While we know some of these are fake IDs, be sure of our capabilities to hunt you down 😎.

Take this as a sweet warning!

#DelhiPoliceNailsFake",0,[],276,True
"Hey guys!

Not done. You have taken the job of spreading नफ़रत so brazenly.

Rest assured, we are watching you all, and mighty well. While we know some of these are fake IDs, be sure of our capabilities to hunt you down 😎.

Take this as a sweet warning!

#DelhiPoliceNailsFake https://t.co/ez2Z2kQN3S",0,[],300,True
"Hey guys!

Not done. You have taken the job of spreading नफ़रत so brazenly.

Rest assured, we are watching you all, and mighty well. While we know some of these are fake IDs, be sure of our capabilities to hunt you down 😎.

Take this as a sweet warning!

#DelhiPoliceNailsFake",0,[],276,True
Efforts are being made to arrest him .,0,[],38,True
The police verified the same to be incorrect and Tahir Hussain was found available in his house . It is further added that he was named as accused on 26/2/2010 upon recovery of the body of Shri Ankit Sharma . His house was searched and he was found absconding.,0,[],260,True
A section of Media has reported that Tahir Hussain (councillor) was rescued by Delhi Police. The facts are that on night intervening 24/25 Feb 2020 when some public men informed police deployed at Chand bagh that Tahir Hussain was trapped as crowd had surrounded his house.,0,[],273,True
"Minister of State for Consumer Affairs appreciated New Delhi district police for prompt response in nabbing two cheaters for fraud under One Nation One Ration scheme.
#DelhiPolice @CPDelhi @HMOIndia @LtGovDelhi @DelhiPolice @consaff @raosahebdanve https://t.co/nT8yVdD2X8",0,[],271,True
"It's the BAAGHI season.

We are #Baaghi against #false &amp; #fake. Are you?

Get ready to be a Baaghi against #FakeNews.

Be a rebel against all networks of false information. Be vigilant against rumour mongers. Let's unite to fight fake.

#DelhiPoliceNailsFake

@HMOIndia @CPDelhi https://t.co/zpcfrm6zHz",4,"['Baaghi', 'false', 'fake', 'FakeNews']",306,True
"Senior Officers from Dwarka District interacted with public and appreciated their co-operation and support in handling the tense situation created due to rumours. 
@LtGovDelhi
@CPDelhi
@DelhiPolice https://t.co/w45Rqq2Cmh",0,[],221,True
"Addl.DCP/Dwarka Dist. and Akshat Kaushal I.P.S. (U/T) held a meeting with RWA members of Mohan Garden area.  Appealed them not to pay attention to rumours &amp; appreciated their help in maintaining peace &amp; harmony.
@LtGovDelhi
@CPDelhi
@DelhiPolice https://t.co/PdpdB4LIOO",0,[],277,True
दिल्ली में कहीं भी हिंसा की कोई खबर नहीं है । कृपया अफवाहों पर ध्यान न दें और ना अफवाह फैलाए। @DelhiPolice https://t.co/PtZVjFtrh5,0,[],130,True
Permission to start a rally from Ram Lila ground to Jantar Mantar by Young India National Coordination Committee has not been granted @DelhiPolice,0,[],146,True
"Delhi Police: A 24-yr-old man arrested by Cyber Crime Cell, for spreading rumours over riots in Nihal Vihar of west Delhi. He was using social media to spread rumours. His mobile phone has been recovered&amp;alleged social media post confirmed to have been posted from his profile. https://t.co/2img2kemqq",0,[],305,True
"Residents in Valmiki basti, Madangir, Lohar chowk areas of Ambedkar Nagar visited. They have assured to give information against Rumour mongers and there is No cause for any concern.
Do not believe in Rumours. 
@DCPSouthDelhi @DelhiPolice https://t.co/QNhnsqdQoR",0,[],262,True
Intensive patrolling and confidence building measures including interation with public with appeal not to spread or pay attention to any rumours on social media platforms. @DelhiPolice @CPDelhi @LtGovDelhi https://t.co/E11sl7uK1r,0,[],229,True
"Senior officers interacting with members of the public for confidence building and to ensure that no rumour mongering takes place
@CPDelhi @LtGovDelhi @DelhiPolice https://t.co/rI9VDVjhN9",0,[],187,True
