text,Tweet_Id,User_Id,No. of Retweets,No. of Likes,Is Verified,Follower Count,Is Rumour,Score,Prediction
"My friends @sarthakraizada, @solicitorNikunj, @pradosh_shetty &amp; I file a complaint with @DelhiPolice against #ShaheenBagh protesters under various sections of IPC, as the illegal gathering might soon become a hotbed for CoVID-19 &amp; a public health disaster. https://t.co/VFHw42Drsu",1241307073821827072,724492284092383232,215,0,False,183,0,0.8103015075376885,False
@ani_jharia07 @HMOIndia @DelhiPolice @ArvindKejriwal सत्य 👍🏾,1241307063583748098,1105633420397277184,0,0,False,896,0,0.656694560669456,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241307046571433985,1088048352,88,0,False,72,0,0.825,False
"This protest is Now illegal. If you can't follow the government instructions at Emergency situation then you are against the Indian Constitution &amp; Law.
@HMOIndia
@DelhiPolice  @ArvindKejriwal we request you to please take strict action on Shaheen Bagh #ShaheenAboveJantaCurfew",1241307011037442048,1105633420397277184,1,0,False,896,1,0.0016722408026755853,False
"My friends @sarthakraizada, @solicitorNikunj, @pradosh_shetty &amp; I file a complaint with @DelhiPolice against #ShaheenBagh protesters under various sections of IPC, as the illegal gathering might soon become a hotbed for CoVID-19 &amp; a public health disaster. https://t.co/VFHw42Drsu",1241307005639254017,525133945,215,0,False,46,0,1.235632183908046,False
@ManishJhaTweets @pokershash @DelhiPolice @DcpNorthDelhi @AamAadmiParty,1241306998232076289,1218935059819851776,0,0,False,65,0,0.3397794117647059,False
"शाहीनबाग की महिलाएं जनता कर्फ्यू में शामिल नहीं होंगी।।
आदरणीय @AmitShah जी,
ये महिलाएं शाहीनबाग से बलपूर्वक क्यों नहीं हटवाई जा रहीं🤔
क्यों @DelhiPolice इनसे वार्ता करने जाती है?
क्यों भूल जाते हो,कि इन्हीं की सहेलियों ने हेड कांस्टेबल की हत्या कर दी😠
https://t.co/IWWVWib9fK",1241306949846630403,101990582,228,0,False,772,0,0.342,False
"यदि मेरी चिंता अनुचित है तो मुझे निश्चित रूप से दण्डित किया जाना चाहिए, और यदि मेरी चिंता उचित है तो आपको यह संदेश हर भारतवासी तक पहुंचाने में मेरी सहायता करनी चाहिए, क्योंकि यह कोई मज़ाक़ नहीं बल्कि लोगों की अनमोल जिंदगियों का सवाल है।
धन्यवाद
🙏
@DelhiPolice @Uppolice @PMOIndia https://t.co/d5EBKyAd9i",1241306940078272514,1212347139344322561,1,0,False,9610,1,0.00015607116845281447,False
"@DelhiPolice शालीमार बाग /कनिष्क अपार्टमेंट में दो लड़कियां दुबई से आई है। RWA के कहने पर भी ना मेडिकल टेस्ट करवा रही है ना ही घर में रह रही हैं। 100 पर शिकायत करवाई तो PCR वाले का कॉल आया कि इसमें हम क्या करेंगे !
PCR Official No - +918129307424
#Covid_19 @DcpNorthDelhi",1241306933056794624,417763872,88,0,False,875,0,0.13707165109034267,False
"यदि मेरी चिंता अनुचित है तो मुझे निश्चित रूप से दण्डित किया जाना चाहिए, और यदि मेरी चिंता उचित है तो आपको यह संदेश हर भारतवासी तक पहुंचाने में मेरी सहायता करनी चाहिए, क्योंकि यह कोई मज़ाक़ नहीं बल्कि लोगों की अनमोल जिंदगियों का सवाल है।
धन्यवाद
🙏
@DelhiPolice @Uppolice @PMOIndia https://t.co/d5EBKyAd9i",1241306919278727170,1212347139344322561,1,2,False,9610,1,0.00026006449599500674,False
